Nr projektu;Lokalizacja projektu;Nazwa osiedla;Kategoria projektu;Suma kosztów;Wszystkie opinie;Nazwa projektu
358;"PL. LEGIONÓW/PI£SUDSKIEGO/KOŒCIUSZKI
OBRÊB STARE MIASTO, AM-32, DZ. 29/1, 30/1";Przedmieœcie Œwidnickie;zieleñ/rekreacja;1800000;Nie;SKWER LEGIONÓW
359;"ALEJA ARMII KRAJOWEJ / SPISKA - CZÊŒÆ PARKU SKOWRONIEGO
OBRÊB PO£UDNIE, AM-38, DZ.NR 30,29, AM-39, DZ.NR 1/3, 10
";Gaj, Huby, granice wroc³awskich osiedli;zieleñ/rekreacja;2000000;Nie;BRAMA SPISKA
360;"teren przy Szkole Podstawowej nr 30 ul. Zaporoska 28 53-523 Wroc³aw; / Po³udnie, AR_22, 1/2 ";Powstañców Œl¹skich;edukacja;127044;Tak;BOISKO DO SIATKÓWKI  / budowa boiska do gier przy Szkole Podstawowej nr 30, ul. Zaporoska 28 we Wroc³awiu
361;"UL. PRUSA/ UL. NOWOWIEJSKA
OBRÊB PL.GRUNWALDZKI, AM-8, DZ.NR 31,32,33
";O³bin;zieleñ/rekreacja;2000000;Nie;SKWER LUDZI ZE ZNAKIEM P
362;Nr  dzia³ki 23/2 arkusz mapy 27;Stare Miasto;edukacja;468000;Tak;Budowa Boiska sportowego sztuczn¹ nawierzchni¹ przy ul. Kraiñskiego 
363;"obrêb Zakrzów;  Arkusz 19 nry dzia³ek	13/1, 16/12, 8/3, 9/4, 10/4, 11/3, 11/4, 12/3, 13/9, 13/13, 13/6; Arkusz 15 nr dzia³ki 3/11";Psie Pole-Zawidawie;piesze/rowerowe;1910000;Tak;Œcie¿ka pieszo-rowerowa wzd³u¿ al. Jana III Sobieskiego od ul. Wilanowskiej do ul. Odolanowskiej (Mirków)
364;Biskupin, AR_9,10 w³asnoœæ gminy Wroc³aw w trwa³ym zarz¹dzie Gimnazjum nr 20;Biskupin-Sêpolno-D¹bie-Bartoszowice;edukacja;1220000;Tak;Rekreacyjno - sportowy kompleks Biskupin - Sêpolno. Bie¿nia lekkoatletyczna, boisko do p. no¿nej, si³ownia zewnêtrzna. Ulica Pautscha.
365;ul. Koszarowa 3, droga na dzia³ce AR_16,3 ;Kar³owice-Ró¿anka;piesze/rowerowe;8700;Tak;Chodniki dla pieszych na Koszarowej. Ustawienie s³upków uniemo¿liwiaj¹cych parkowanie na chodniku w s¹siedztwie szpitala i uniwersytetu na ul. Koszarowej
366;Ar 16, 135 W³asnoœæ Gminy w zarz¹dzie;Maœlice;piesze/rowerowe;100000;Nie;Œcie¿ka gruntowa utwardzana wzd³u¿ £ugowiny miêdzy ul. Ostródzk¹ i Brodnick¹
367;AR_8, 6/3;Szczepin;piesze/rowerowe;38000;Tak;Bezpieczne przedszkolaki na Inowroc³awskiej
368;Stare Miasto, AR_23, 4/57;Przedmieœcie Œwidnickie;place zabaw;150000;Tak;Têczowy plac zabaw
369;ul. £owiecka 6. Dzia³ka : Plac Grunwaldzki, AR_20, 6/1;Nadodrze;inne;150000;Nie;Badania geotermalne - odwierty 
370;Wyspa S³odowa 7, Dzia³ka: Plac Grunwaldzki, AR_26, 11/1;Stare Miasto;zieleñ/rekreacja;150000;Nie;Wisz¹ce ogrody na kamienicy na Wyspie S³odowej, wraz z termoizolacj¹ i graj¹cymi na wietrze rzeŸbami
