Nr projektu;Lokalizacja projektu;Nazwa osiedla;Kategoria projektu;Suma kosztów;Wszystkie opinie;Nazwa projektu
594;"Pilczyce AR_15, 7/5; Pilczyce AR_15, 7/19; Pilczyce, AR_15, 7/3; Pilczyce AR_15, 7/11; Pilczyce AR_15, 7/25; Pilczyce AR_15, 7/33; Pilczyce AR_15, 7/9; Pilczyce AR_15, 7/9";Pilczyce-Kozanów-Popowice P³n.;drogowe;800000;Nie;Przebudowa parkingu gruntowego na parking wykonany z nawierzchni asfaltowej lub z tzw. kostki Bauma przy ul. Pilczyckiej 126, 126a, 128, 130, 132, 134, 136, 138. 
595;Wroc³aw;Wroc³aw;inne;85000;Tak;Mapa Wroc³awia USE-IT
596;"Wzgórze W³adys³awa Andersa, obrêb po³udnie; numer dzia³ki 2/5; arkusz mapy 26 ";Huby;zieleñ/rekreacja;48461;Nie;PUMPTRACK Wroc³aw - tor doskonal¹cy umiejêtnoœæ jazdy na rowerze
597;Hutnicza 45,  Pilczyce AR 17.9;Pilczyce-Kozanów-Popowice P³n.;edukacja;86600;Tak;Projekt wymiany ogrodzenia
598;Ratusz, Semaforowa 5;Brochów ;rewitalizacja;2000000;Nie;Brochowski Ratusz jako lokalne Centrum Kultury
599;Psie Pole, AR_14, 54/3, Psie Pole, AR_14, 54/1, Psie Pole, AR_14, 87/10. Ulica Sycowska, na wysokoœci wejœcia i wjazdu do Szko³y Podstawowej nr 98 i, Piastów Wroc³awskich.;Psie Pole-Zawidawie;drogowe;5140;Tak;Na zebrze bezpieczniej idzie siê do szko³y.
600;Obrêb Stab³owice AR_36 dzia³ka 30/1 ;Leœnica;place zabaw;250000;Nie;Plac zabaw przy ul. Lewej
601;ul. Wojszycka 1, 53-006 Wroc³aw, teren przy Szkole Podstawowej nr 64 im. W. Broniewskiego, Obrêb Partynice AM-4 , dzia³ka 124;Krzyki-Partynice;drogowe;309000;Tak;„Bezpieczny przyjazd do szko³y – przebudowa uk³adu komunikacji pieszej i drogowej z utworzeniem miejsc postojowych przy Szkole Podstawowej nr 64 we Wroc³awiu”
602;40, 41, 31/5,  26, 8/1, 9/1, 31/11 (Kozanów, AR-7);Pilczyce-Kozanów-Popowice P³n.;zieleñ/rekreacja;149700;Nie;Zielony Kozanów
603; Wroc³aw Nadodrze;Nadodrze;rewitalizacja;2000000;Tak;"""Przywrócenie dawnej œwietnoœci Nadodrza"""
604;Park Biakupiñski, wejœcie od ul. Pankiewicza, dawne boisko do siatkówki, nr geodezyjny dzia³ki: AR _7, 92;Biskupin-Sêpolno-D¹bie-Bartoszowice;zieleñ/rekreacja;595000;Nie;Skatepark w parku Biskupiñskim
605;Park Biakupiñski, wejœcie od ul. Pankiewicza, dawne boisko do siatkówki, nr geodezyjny dzia³ki: AR _7, 92;Biskupin-Sêpolno-D¹bie-Bartoszowice;zieleñ/rekreacja;390000;Nie;Skatepark w parku Biskupiñskim
606;Wzd³u¿ ulicy K³okoczyckiej dzia³ki nr: K³okoczyce, AR_6, 1 , K³okoczyce, AR_5, 26 , K³okoczyce, AR_3, 36 ;Psie Pole-Zawidawie;piesze/rowerowe;470720;Tak;Ci¹g pieszy K³okoczyce
607;Park Biakupiñski, wejœcie od ul. Pankiewicza, dawne boisko do siatkówki, nr geodezyjny dzia³ki: AR _7, 92;Biskupin-Sêpolno-D¹bie-Bartoszowice;zieleñ/rekreacja;145000;Nie;Skatepark w parku Biskupiñskim
608;Kwarta³ ulic Fio³kowej, Nasturcjowej, Ostrowskiego, Grabiszyñskiej nr dzia³ki 7/39, 7/40;Grabiszyn-Grabiszynek;zieleñ/rekreacja;2000000;Nie;OGRÓD EDUKACYJNY I (FIO£KOWY)
609;Park Andersa;Powstañców Œl¹skich;zieleñ/rekreacja;49000;Nie; Si³ownia Genera³a
610;Park Grabiszyñski;Grabiszyn-Grabiszynek;inne;200000;Tak;Oœwietlenie Parku Grabiszyñskiego
611;"ul. Awicenny, pomiêdzy ul. Piñsk¹, a Trawow¹
Muchobór Wielki, AR_20, 13
Muchobór Wielki, AR_20, 19
";Muchobór Wielki;piesze/rowerowe;900000;Tak;Budowa przejœcia dla pieszych wraz z przejazdem dla rowerów i œcie¿ki rowerowej wzd³u¿ ulicy Awicenny
612;Ksiê¿e Ma³e, A_7, 34;Ksiê¿e;zieleñ/rekreacja;433012;Nie;"OGÓLNODOSTÊPNE MIEJSCE KSZTA£TOWANIA SPRAWNOŒCI FIZYCZNEJ NA WOLNYM POWIETRZU ""URBANFIT"""
613;" Polana w pobli¿u Ma³ej Sobótki, w rejonie ulic Stolarskiej i Rac³awickiej.
Dz. 6/9 am-37, Dz. 6/8 am-37";Grabiszyn-Grabiszynek;place zabaw;149957;Nie;PLAC ZABAW DLA DZIECI M£ODSZYCH W PARKU GRABISZYÑSKIM.
614;ul. Stacyjna Wroc³aw, Stare Miasto, AR_2, 3/20;Szczepin;piesze/rowerowe;108780;Tak;Oœwietlenie Parku wraz z przebudow¹ przejœæ dla pieszych - ul. Stacyjna, Stare Miasto
615;Nie umiem tego zrobiæ Dzia³ka miejska ;O³bin;drogowe;145000;Tak;Przyjazny Skwer Skacz¹cej Gwiazdy
616;"Dz. 6/9 am-37 , Dz. 6/8 am-37,
W pobli¿u Ma³ej Sobótki, miêdzy ul. Stolarsk¹ i Rac³awick¹";Grabiszyn-Grabiszynek;place zabaw;149957;Tak;PLAC ZABAW DLA DZIECI M£ODSZYCH W PARKU GRABISZYÑSKIM.
617;"Polana przy Ma³ej Sobótce w Parku Grabiszyñskim w pobli¿u ulic Rac³awickiej i Stolarskiej
Dz. 6/8 am-37 ";Grabiszyn-Grabiszynek;place zabaw;498769;Tak;PLAC ZABAW DLA DZIECI STARSZYCH W PARKU GRABISZYÑSKIM.
618;UL. BLACHARSKA 13, Wroc³aw, Dzia³ka nr 59/5, AM 38, obrêb Grabiszyn;Grabiszyn-Grabiszynek;edukacja;500000;Tak;BAZA SPORTOWA DLA MIESZKAÑCÓW OSIEDLA GRABISZYN-GRABISZYNEK, PRZY SZKOLE PODSTAWOWEJ NR 82 PRZY UL. BLACHARSKIEJ 13 WE WROC£AWIU
619;ul. Trójk¹tna (¯erniki AR_3 112/5, 88, 118/2);Leœnica;drogowe;63000;Tak;Poprawa bezpieczeñstwa pieszych na osiedlu ¯erniki Nowe
620;"Analiza w³asnoœci: Stare Miasto, AR_5, 22/6 i AR_5, 22/11
Typ w³asnoœci: W³asnoœæ Gminy w zarz¹dzie, u¿ytkowaniu 
Nazwa obrêbu: Stare Miasto
Numer arkusza mapy: 5
Numer dzia³ki: 22/6 i 22/11 
";Szczepin;zieleñ/rekreacja;990700;Nie;Projekt zagospodarowania przestrzeni skweru osiedlowego na placu œw. Miko³aja we Wroc³awiu. 
621;fragmenty dzia³ek 18, 16/21, 16/22, 16/23 Arkusz mapy 5;Szczepin;drogowe;120000;Tak;Naprawa drogi - ³¹cznika ulic Inowroc³awskiej i Rybackiej oraz naprawa chodnika wzd³u¿ bloku Rybacka 2-4 wraz z likwidacj¹ progów - schodków
622;Stare Miasto;Stare Miasto;inne;83640;Nie;Wie¿a dla jerzyka - konstrukcja wie¿y lêgowej dla ptaków jerzyków
623;ul. PrzyjaŸni, miêdzy wjazdem do osiedla Belvedere a przystankiem tramwajowym PrzyjaŸni;Krzyki-Partynice;piesze/rowerowe;33800;Tak;Budowa przejœcia dla pieszych na ulicy PrzyjaŸni (przy wyjeŸdzie z osiedla „Belveder”)
624;"1. Wroc³aw Park Langiewicza -Grabiszyn AR_17,20
";Gajowice ;place zabaw;43230;Tak;Raz, dwa, trzy. Huœtam siê ja, huœtasz siê TY. Integracja poprzez wspóln¹ zabawê.
625;4/2, 9/3;Ksiê¿e;inne;545000;Tak;"""Widzimy siê w Parku Wschodnim"" - wykonanie oœwietlenia Parku Wschodniego we Wroc³awiu"
626;"Nazwa obrêbu: Nowy Dwór
Numer arkusza mapy: 1 (nr dzia³ki 9/7 i/lub nr 13) i ewentualnie nr 5 (nr dzia³ki 8/2)
ul. Sukielicka";KuŸniki, Nowy Dwór , granice wroc³awskich osiedli;sport;2000000;Nie;Kij i Rêkawica – Centrum Sportów Amerykañskich
627;Numer dzia³ki: AR_26, 2/5;Huby;zieleñ/rekreacja;150000;Tak;Street Workout i Parkour na Andersa
628;Wroc³aw ul. So³tysowicka 68;So³tysowice;zieleñ/rekreacja;920000;Nie;Modernizacja so³tysowickiego stadionu
629;"Dz. nr 7, AM-13, Obrêb Brochów
Dz. nr 2, AM-12, Obrêb Brochów
Dz. nr 81/1, 82/1, AM-12; Obrêb Brochów
Dz. nr 1, 2, 3/3, AM-10, Obrêb Brochów

Opcjonalnie:
Dz. nr 83/23 Am-12; 
25/1 AM-12; 
1/1 AM-13, 
83/1 AM-13, 
84/1 AM-13
84/4 AM-13
";Jagodno;piesze/rowerowe;495000;Tak;Wykonanie chodnika wzd³u¿ ul. Konduktorskiej.
630;Plac Grunwaldzki, AR_26, 12;Stare Miasto;rewitalizacja;150000;Tak;Podstawowe zabezpieczenie przed dewastacj¹ techniczn¹ kamienicy Wyspa S³odowa 7 z za³o¿eniem przeznaczenia jej na obiekt po¿ytku publicznego
631;Krzywoustego,  Kromera, mosty Warszawskie oraz Brucknera, mosty Jagieloñskie, Kochanowskiego;Kar³owice-Ró¿anka;drogowe;2000000;Nie;Wroc³aw bez korków
632;Jagodno dz. 20/1 AR 2 W³asnoœæ Gmina Wroc³aw;Jagodno;drogowe;100000;Tak;Remont nawierzchni pocz¹tkowego odcinka ul. Vivaldiego od ul. Buforowej do wysokoœci  szlabanu Wspólnoty Mieszkaniowej Cztery Pory Roku LATO ul. Vivaldiego 2c
633;"ul. ¯elazna (dz. nr 34/2, 35, 36; AM-22, Obrêb Po³udnie)";Gajowice ;drogowe;136400;Tak;USPOKOJENIE RUCHU I BEZPIECZEÑSTWO PIESZYCH NA ULICY ¯ELAZNEJ (osiedle Powstañców Œl¹skich)
634;Wroc³aw ul. Krucza 49, dzia³ka 8/5 AR_16 Obrêb Grabiszyn;Gajowice ;edukacja;350000;Tak;Budowa boiska pi³karskiego ze sztuczn¹ muraw¹ przy Liceum Ogólnokszta³c¹cym nr 7
635;ul. Mi³oszycka 18 A,B,C, dzia³ka nr 12/2;Strachocin-Swojczyce-Wojnów;inne;35000;Tak;„Bezpieczne Swojczyce – budowa oœwietlenia miejskiego  na  ulic Mi³oszyckiej”.
636;"Muchobór Ma³y, AR_7, 85/1
Muchobór Ma³y, AR_7, 85/2";Muchobór Ma³y;edukacja;440001;Tak;PRZEBUDOWA TERENÓW SPORTOWO - REKREACYJNYCH SZKO£Y PODSTAWOWEJ NR 28 WE WROC£AWIU (GRECKA 59)
637;"ul. Na Grobli numer geodezyjny dzia³ki (na podstawie www.geoportal.wroclaw.pl): 
dzia³ka nr 5, AM-2, obrêb Bierdzany oraz   dzia³ka nr 4, AM-1, obrêb Rakowiec  
";Przedmieœcie O³awskie;drogowe;150000;Tak;Udostêpnienie mieszkañcom Wroc³awia nadodrzañskich terenów rekreacyjnych  oraz oœrodka edukacji wodnej  „Rancho” poprzez umo¿liwienie dojazdu  (wyremontowanie drogi).
638;Muchobór Ma³y, AR_15, 5/34;Muchobór Ma³y;zieleñ/rekreacja;280000;Nie;ZAGOSPODAROWANIE PLACU REKREACYJNEGO
639;"ul. Henryka Sienkiewicza 76- 84 (od strony ul. Górnickiego)
ul. Górnickiego 23
numer geodezyjny dzia³ki (na podstawie 
www.geoportal.wroclaw.pl): 
Plac Grunwaldzki, AR_15, 63/2
Plac Grunwald
zki, AR_15, 63/2
";O³bin;piesze/rowerowe;150000;Tak;Zielona Trasa  Œródmiejska  - Bezpieczne Szko³y. Wyniesienie przejœæ dla pieszych przy ul. Nowowiejskiej
640;podwórko kamienic przy ul. Curie- Sk³odowskiej 87-91, Wybrze¿u Wyspiañskiego 32-37 i ul. Smoluchowskiego 50-56. Nr dzia³ki 21/11.;Plac Grunwaldzki;drogowe;150000;Tak;Domowy parking przy Hali Stulecia
641;"Wroc³aw Hallera 122-128; Grabiszyn, AR_28, 3/16";Grabiszyn-Grabiszynek;rewitalizacja;367841;Tak;Rewitalizacja podwórka Wroc³aw Hallera 122-128
642;"Popowice AR_17, 7, Popowice, AR_17, 6, POPOWICE AR_21,1/4.
POPOWICE AR_21, 1/2, POPOWICE AR_18, 5/7,  POPOWICE AR_17, 1/12";Szczepin;drogowe;488000;Tak;Stworzenie bezpiecznego przejœcia i przejazdu przez dziki park przy ul. Jaworskiej na Szczepinie
643;"So³tysowice, AR_10, 13/3;  AR_9, 5/1;  AR_9, 7/1; AR_10, 2";So³tysowice;piesze/rowerowe;150000;Tak;Budowa chodnika dla pieszych przy ul. So³tysowickiej
644;"Wroc³aw, Boisko Pi³karskie ""O³taszyn"", ul. Strachowskiego ,
dzia³ka 27/4, arkusz 6, obrêb O³taszyn, w³asnoœæ Gminy Wroc³aw, ";O³taszyn;sport;896900;Tak;         MODERNIZACJA I PRZEBUDOWA  KOMPLEKSU BOISK SPORTOWYCH         WROC£AW – O£TASZYN, UL. STRACHOWSKIEGO 
645;"Obrêb Ksiê¿e Ma³e, obejmuj¹cy dzia³ki: 
AR_6, 8/1 
AR_6, 9
AR_6, 2/3
AR_6, 11/5
AR_6, 10/1
AR_6, 10/2
AR_6, 10/3
AR_6, 1/3
AR_7, 33
AR_7, 36
AR_7, 32/2
AR_7, 32/1
AR_7, 31";Ksiê¿e;drogowe;120000;Tak;POSZERZENIE DROGI (UL. TARNOGÓRSKA) W CELU DOSTOSOWANIA JEJ DO WPROWADZENIA DWUKIERUNKOWEGO RUCHU POJAZDÓW.
646;"1. Hallera 160-176
2. Hallera 115-149
3. Aleja Pracy 24";Grabiszyn-Grabiszynek;zieleñ/rekreacja;500000;Nie;OGRÓD EDUKACYJNY JAŒMINOWY
647;Plac Grunwaldzki, AR_14, 80;O³bin;inne;145000;Nie;Zielona Trasa Œródmiejska - Letnia Scena w Parku To³py.  Festyny, wydarzenia, letnie kino
648;ul. Na Niskich £¹kach, teren by³ego k¹pieliska;Przedmieœcie O³awskie;zieleñ/rekreacja;187000;Tak;Pla¿a Niskie £¹ki
649;ul. Zieliñskiego, nr dz. 026401_1.0022.AR_14.12/2, obrêb Po³udnie;Powstañców Œl¹skich;drogowe;477000;Tak;Utrzymanie i remont nawierzchni gminnej drogi wewnêtrznej w obrêbie zabudowañ mieszkalnych przy ul. Tadeusza Zieliñskiego
650;" ulice: Kromera, Krzywoustego, Kêtrzyñskiej i Gi¿yckiej
Obrêb Kowale, AR25/4  (w zarz¹dzie ZZM i ZDiUM)
Obrêb Kowale, AR25/8 
Obrêb Kowale, AR25/3 dr 
Obrêb Kowale, AR25/7 dr ";Kar³owice-Ró¿anka;zieleñ/rekreacja;1798080;Nie;Osiedle ogród — Bezpieczeñstwo i rekreacja w miejscu zamieszkania. Za³o¿enie ogrodowo-parkowe w obrêbie ulic: Grudzi¹dzka, Krzywoustego, Brucknera, Kêtrzyñska, Gi¿ycka.
651;podwórko kamienic przy ul. Curie- Sk³odowskiej 87-91, Wybrze¿u Wyspiañskiego 32-37 i ul. Smoluchowskiego 50-56. Nr dzia³ki 21/11;Plac Grunwaldzki;zieleñ/rekreacja;150000;Tak;Trawa dla Marii
652;"Sepolno AR3 102/31, AR3 102/35, AR3 104/8, AR3 104/36, AR3 104/43
Zalesie  AR8 6/1, AR8 6/2, AR8,10";Biskupin-Sêpolno-D¹bie-Bartoszowice;drogowe;1800000;Tak;Zmiana nawierzchni, wyg³uszenie odcinka drogi krajowej.
653;waly  Bartoszowice,Biskupin,Wyspa Opatowicka: Biskupin AR  4 173/4 AR4,30 AR6 18/1 AR7,92 AR9,47/2 Bartoszowice AR2,13/1 AR2,6/2 AR2,7 AR2,14AR 2,13/3AR2,13/2 DabieAR7,11/23 AR7,11/12 AR5,4/2AR5,3/5;Biskupin-Sêpolno-D¹bie-Bartoszowice;inne;70000;Tak;Wielka Wyspa tonie w smieciach
654;Ul. Powstañców Œl¹skich 210/218, dzia³ka nr 9 AR_8 obrêb Borek;Borek;edukacja;350000;Tak;Budowa boiska pi³karskiego ze sztuczn¹ muraw¹ przy Zespole Szkó³ nr 4
655;Robotnicza;Szczepin;drogowe;20000;Nie;Buspas z Nowego Dworu 
656;¯abia Groble - nabrze¿e O³awy pomiêdzy ¯abi¹ Œcie¿k¹ a podwórkiem ul. Traugutta pomiêdzy numerami 126-146;Przedmieœcie O³awskie;piesze/rowerowe;45000;Tak;Przejazd rowerowy ¯abi¹ Grobl¹ - od ¯abiej Œcie¿ki do podwórka przy ul. Traugutta 126-146
657;"Uprawy leœne przy ul. Kosmonautów ograniczone ulicami: Kosmonautów, gen. Fieldorfa a torami kolejowymi. M.in. nr dzia³ek: ¯erniki, AR_1, 19/2; ¯erniki, AR_2, 21; ¯erniki, AR_2, 2/2; Stab³owice, AR_35";Leœnica;zieleñ/rekreacja;500000;Nie;Aktywne Stab³owice
658;DZIA£KA NR 24 I 25, AM-19, OBRÊB PLAC GRUNWALDZKI;Nadodrze;inne;148400;Tak;OCHRONA ZABYTKOWYCH PLATANÓW ORAZ REMONT ZAGOSPODAROWANIA TERENU WOKÓ£ DAWNEGO DWORCA KOLEJKI W¥SKOTOROWEJ, pl. St. Staszica, Wroc³aw
659;Wroc³aw ul. Kie³czowska 45, arkusz mapy 23, dzia³ka nr 1;Psie Pole-Zawidawie;piesze/rowerowe;124300;Nie;Chodnik im. R. Drapa³y
660;13/2 i 12/2 obrêb Grabiszyn, AR-13;Gajowice ;zieleñ/rekreacja;113200;Tak;REWITALIZACJA SKWERU PRZY PLACU PERECA
661;"za³o¿enie ogrodowo-parkowe w obrêbie ulic Kromera, Krzywoustego, Kêtrzyñskiej i Gi¿yckiej
Obrêb Kowale, AR25/3 dr (w zarz¹dzie ZZM i ZDiUM)
Obrêb Kowale, AR25/7 dr (w zarz¹dzie ZZM i ZDiUM)
";Kar³owice-Ró¿anka;zieleñ/rekreacja;490000;Nie;Osiedle ogród — Bezpieczeñstwo i rekreacja w miejscu zamieszkania. Aleja. Za³o¿enie ogrodowo-parkowe w obrêbie ulic: Grudzi¹dzka, Krzywoustego, Brucknera, Kêtrzyñska, Gi¿ycka.
662;Las So³tysowicki, AR_3, AR_4;So³tysowice;zieleñ/rekreacja;149999;Tak;Strefa Relaksu w Lesie So³tysowickim
663;Miejsce by³ej zatoczki autobusowej przy ul. Kazimierza Wielkiego/Szewskiej;Stare Miasto;drogowe;200000;Nie;Zatoczka Kiss&Ride przy ul. Kazimierza Wielkiego/Szewskiej
664;21/3, AR.26, obrêb Swojczyce;Strachocin-Swojczyce-Wojnów;piesze/rowerowe;666000;Tak;Budowa ci¹gu pieszego wraz z oœwietleniem wzd³u¿ ul. Marca Polo 
665;ul. Sempo³owskiej 54a, w³asnoœæ gminna, dzia³ka 17/1;Biskupin-Sêpolno-D¹bie-Bartoszowice;inne;20493;Nie;Monitoring - dla bezpieczeñstwa mieszkañcow
666;"ul. Boles³awa Prusa 64 


Plac Grunwaldzki, AR_14, 113/2 

";Nadodrze, O³bin;piesze/rowerowe;150000;Tak;Zielona Trasa Œródmiejska - Bezpieczne Szko³y. Wyniesienie przejœcia dla pieszych przy ulicy Boles³awa Prusa.
667;"PARK WSCHODNI, ul. Krakowska 
WROC£AW – KRZYKI (OSIEDLE KSIÊ¯E MA£E)
Ksiê¿e Ma³e, AR_2, 4/2";Ksiê¿e;zieleñ/rekreacja;495000;Tak;UTWORZENIE STREFY ZABAW DLA DZIECI ORAZ STREFY SPORTU I REKREACJI DLA M£ODZIE¯Y I DOROS£YCH W PARKU WSCHODNIM 
668;podwórko kamienic przy ul. Curie- Sk³odowskiej 87-91, Wybrze¿u Wyspiañskiego 32-37 i ul. Smoluchowskiego 50-56. Nr dzia³ki 21/11;Plac Grunwaldzki;rewitalizacja;150000;Tak;Suszy Ciê? Bo nas nas nie!
669;dz, nr 33 AM-13 obrêb Grabiszyn;Gajowice ;piesze/rowerowe;270000;Tak;Poprawa stanu technicznego chodnika przy ul.Jemio³owej /  strona nieparzysta od ul.Szczêœliwej do ul.¯elaznej
670;"Las Osobowicki - Szaniec Szwedzki 
nr dzia³ki Osobowice, AR_6, 4
Plan zagospodarowania: 115 Las Osobowicki, Pola Irygacyjne
Identyfikator: 026401_1.0055.AR_6.4 
Ksiêga wieczysta:WR1K/00248708/3";Osobowice - Rêdzin;zieleñ/rekreacja;150000;Tak;Osobowickie Œcie¿ki - rekreacyjne œcie¿ki dla rowerzystów na terenie Lasu Osobowickiego.
671;pl. Gustawa Dani³owskiego 4, Kar³owice, AR_12, 67/1;Kar³owice-Ró¿anka;zieleñ/rekreacja;149800;Tak;Uporz¹dkowanie i zagospodarowanie terenu zielonego wokó³ wie¿y ciœnieñ przy pl. Dani³owskiego na Kar³owicach
672;ul. Miko³aja Reja 91,  AM 7 nr dzia³ki  2;O³bin;drogowe;130000;Tak;Parking im. Roberta Drapa³y
673;"Skwer w centralnej czêœci zabytkowej zabudowy rynku Kar³owickiego – strefa rekreacji.
Obrêb Kar³owice, AR12_411 (w zarz¹dzie ZZM i ZDiUM)
";Kar³owice-Ró¿anka;zieleñ/rekreacja;1853000;Nie;Osiedle ogród — Miasto - ogród Kar³owice  —  Plac Marsza³ka Józefa Pi³sudskiego. ETAP I
674;dzia³ka 20/4 AM6 obrêb Stare Miasto;Szczepin;rewitalizacja;124000;Tak;Rewitalizacja wnêtrza podwórzowego  dz.20/4 AM6  Ul.Sokolnicza ul.Sikorskiego
675;"AR 23; Dzia³ki nr: 15/2, 16/2, 17/2, 18/2; Obrêb Brochów";Brochów ;zieleñ/rekreacja;120000;Nie;Œcie¿ka zdrowia
676;PARK BROCHOWSKI;Brochów ;inne;210000;Tak;OŒWIETLENIE PARKU BROCHOWSKIEGO
677;"Wroc³aw Stare Miasto osiedle Szczepin; kamienica po³o¿ona na dzia³ce 20/42 przy ul. Sokolniczej róg ul. Sikorskiego; numer administracyjny: Sokolnicza 42";Szczepin;inne;98000;Tak;REMONT KLATKI SCHODOWEJ
678;"AR 23; Dzia³ki nr: 15/2, 16/2, 17/2, 18/2; Obrêb Brochów";Brochów ;zieleñ/rekreacja;120000;Nie;Œcie¿ka zdrowia
679;"Miêdzy ulicami Kasprowicza i ul. Berenta we Wroc³awiu.
Obrêb Kar³owice, AR12_32, 33, 34 oraz 15/2 (w zarz¹dzie ZIM)
";Kar³owice-Ró¿anka;zieleñ/rekreacja;1877800;Nie;Osiedle ogród — Miasto - ogród Kar³owice  —  Kar³owickie centrum rekreacji 
680;AR_5,5;Oporów;edukacja;70000;Tak;Budowa pi³ko³apu wokó³ boiska szkolnego oraz placu zabaw na terenie Zespo³u Szkolno-Przedszkolnego nr 9 im. Ksiê¿nej Jadwigi przy ulicy Ludwika Solskiego na Oporowie - dawna Szko³a Podstawowa nr 15
681;127/5;Oporów;inne;70000;Tak;Oœwietlenie traktu rowerowo-pieszego pomiêdzy ulicami Jana Ostroroga i Alej¹ Piastów na Oporowie - poprawa jakoœci ¿ycia mieszkañców
682;"AR 23; Dzia³ki nr: 15/2, 16/2, 17/2, 18/2; Obrêb Brochów";Brochów ;zieleñ/rekreacja;150000;Nie;Œcie¿ka zdrowia
683;Ulica Sztabowa (dzia³ki 1, 106). Ulica Pocztowa(dzia³ki  111, 8/2, 8/3);Powstañców Œl¹skich;zieleñ/rekreacja;89090;Tak;Uporz¹dkowanie przestrzeni publicznej przy ulicy Sztabowej i ulicy Pocztowej.
684;PARK PO£UDNIOWY;Borek;inne;345000;Tak;ODTWORZENIE ESTRADY W PARKU PO£UDNIOWYM
685;Wroc³aw Numer Arkusza 35 Numer dzia³ki13/34;Przedmieœcie Œwidnickie;rewitalizacja;795400;Tak;Modernizacja podwórka przy pl. T. Koœciuszki
686;ul. Zagony okolice nr 40 Wroc³aw AM 12 dzia³ka 11;Muchobór Wielki;drogowe;141800;Tak;Parking przy ul. Zagony 
687;Psie Pole, AR_23, 2;Psie Pole-Zawidawie;piesze/rowerowe;96950;Nie;Poleska Passage
688;Maœlice, AR_21, 107/95;Maœlice;place zabaw;41500;Tak;Plac Zabaw Mr¹gowska na Maœlicach
689;Teren przy drodze - ul. So³tysowicka;So³tysowice;piesze/rowerowe;499999;Tak;Budowa œcie¿ki rowerowej i chodnika przy ul. So³tysowickiej – I etap
690;"Dzia³ka zlokalizowana u zbiegu 3 ulic: Jednoœci Narodowej, Daszyñskiego i ¯eromskiego.
Numer dzia³ki: 20/2, 21, 22, 24, 25/6, 25/8, 25/10, 26.";O³bin;rewitalizacja;490800;Tak;ŒRÓDMIEŒCIE: remont podwórka u zbiegu ulic JEDNOŒCI NARODOWEJ, DASZYÑSKIEGO, ¯EROMSKIEGO.
691;Wroc³aw, osiedle Strachocin, obrêb Strachocin, arkusz AR _4, dzia³ki nr 70/1 oraz 70/3 lub/oraz 70/4, w³asnoœæ Gmina Wroc³aw;Strachocin-Swojczyce-Wojnów;inne;1990000;Nie;Oœrodek  Kultury STRACHOCIN SWOJCZYCE WOJNÓW  o powierzchni docelowej oko³o 600-800m kwadratowych, z etapowaniem – budowa I etapu obiektu o powierzchni oko³o 400 m
692;ul. Torowa 2 - 4 - 6 -14 dzia³ki 3/4, 4/1, 5/8 i czêœæ dzia³ki 5/4;Kar³owice-Ró¿anka;piesze/rowerowe;121000;Tak;Chodnik przy ul. TOROWEJ
693;Wroc³aw ul.Orawska dzia³ki 11, 35, 37, 36, 1;O³taszyn;drogowe;485586;Tak;Podbudowa i utwardzenie drogi dojazdowej wraz z mijankami oraz budowa miejsc postojowych przy Rodzinnych Ogrodach Dzia³kowych na ul.Orawskiej
694;obrêb Brochów AM 15, dzia³ka: 22, AM 23, dzia³ki: 3/2, 4/2, 5/2, 6/2, 7/2, 8/2, 9/2, 10/2, 10/4, 11/2, 11/4, 12/6, 13/3, 42/1, 44/4;Brochów ;drogowe;140000;Nie;Droga do Parku
695;dzia³ka nr 5/2 AM-13 Obrêb Grabiszyn;Gajowice ;piesze/rowerowe;70000;Tak;Wyznaczenie dodatkowego przejœcia dla pieszych od peronu tramwajowo-autobusowego na chodnik w rejonie koœcio³a Œw. El¿biety
696;AR_3, 2   W³asnoœæ Gminy w zarz¹dzie, u¿ytkowaniu;Krzyki-Partynice;zieleñ/rekreacja;25000;Tak;Nowe drzewa w miejsce wyciêtych na ul. PrzyjaŸni
697;Park Brochowski, AR 15, Dzia³ka nr 3;Brochów ;zieleñ/rekreacja;150000;Tak;Bezobs³ugowy tor linowy w Parku Brochowskim
698;obrêb Brochów, AM 22, dzia³ki: 30/2, 31/1, 32/1, 32/2, 36/1, 37/3;Brochów ;drogowe;145000;Tak;Miêdzy Parkowym a Grafitowym
699;"¯erniki, AR_4, 2; Pilczyce, AR_18, 35; Pilczyce, AR_18, 103/1 (trudno okreœliæ, poniewa¿ czêœæ jest zas³oniêta przez estakadê AOW)";Pilczyce-Kozanów-Popowice P³n., ¯erniki ;piesze/rowerowe;94000;Tak;Wydzielenie drogi dla rowerów z ci¹gu pieszo-rowerowego pomiêdzy ulic¹ Warciañsk¹ i Kosmonautów
700;ul. Rac³awicka;Borek;drogowe;70000;Tak;Bezpieczna i przyjazna Rac³awicka
701;"ulica Kosmonautów, strona pó³nocna, od ulicy Bia³odrzewnej do ulicy Boguszowskiej (2500m).
W³asnoœæ: Miasto Wroc³aw.";Leœnica;piesze/rowerowe;1470000;Tak;Bezpiecznie rowerem i pieszo z Leœnicy i okolic do centrum Wroc³awia -  zamontowanie plastikowych s³upków separuj¹cych na ulicy Kosmonautów.
